模式编号,错误码,模式名称,一级,二级,三级,四级,五级,故障原因,故障影响（业务面）,故障影响（管理面）,爆炸半径,故障等级,故障分类,场景分类,关键故障(影响),典型故障(频次),检测机制,模块处理,系统处理,恢复时间,恢复等级,故障可构造,构造方法,故障定位方法,故障关键日志,下级模式编号,检测使能条件,可定位性自检结果,自动化定位
EPLB-FM001,,EPLB Scheduler进程未运行,AI软件,MINDIE,SD,eplb_scheduler,平台软件,EPLB scheduler未启动或启动后异常退出；worker侧actual_error通常为Connection refused且目标host:port无监听,专家负载均衡不生效；专家布局无法动态更新,进程监控显示scheduler进程缺失；worker错误日志显示连接失败；端口检查显示目标host:port无监听,单个EPLB调度域,高,进程故障,初始化场景,是,中,进程监控；日志记录,worker连接失败时记录ERROR并抛出原异常,调用方需重新拉起scheduler并确认启动参数,需人工介入,二级,是,不启动python -m mindiesd.eplb.eplb_scheduler后直接启动EPLB worker,1. grep EPLB worker failed to connect to scheduler 2. 查看actual_error，Connection refused优先检查scheduler进程和端口 3. ps -ef检查mindiesd.eplb.eplb_scheduler 4. ss -ltnp检查manager_addr对应端口；进程不存在或目标端口无监听时归因EPLB-FM001,"ERROR [MindIE-SD/eplb] EPLB worker failed to connect to scheduler. issue=scheduler connection unavailable, rank_in_group={rank_in_group}, manager_addr={ip}:{port}, actual_error={error}. possible_cause=the scheduler is not running, the configured address is incorrect, or the network path is unavailable. Troubleshooting: if actual_error is Connection refused, check whether the scheduler process is running and whether manager_addr is listening with ps and ss -ltnp; if the scheduler is listening, compare manager_addr with scheduler --host/--port and worker ip/port; if the address matches but connection still fails, run nc -vz or telnet from the worker environment to check routing, firewall, or container network namespace.",EPLB-FM003,ERROR日志输出正常；scheduler进程监控和端口监听检查使能,可定位,部分自动化
EPLB-FM002,,EPLB Scheduler端口不可用,AI软件,MINDIE,SD,eplb_scheduler,平台软件,scheduler端口未监听或被其他进程占用,worker无法连接scheduler；EPLB任务无法流转,ERROR日志封装Address already in use及监听地址,单个EPLB调度域,高,进程故障,初始化场景,是,中,端口监控；日志记录,manager server绑定失败时记录ERROR并抛出原异常,调用方需调整端口或清理占用进程,需人工介入,二级,是,使用已占用端口启动scheduler或worker配置错误端口,1. grep EPLB scheduler failed to bind address 2. 查看actual_error，Address already in use表示端口被占用 3. scheduler侧执行ss -ltnp定位占用scheduler_addr的进程 4. 停止占用进程或更换--port；若地址不可用，检查--host是否为本机可绑定地址,"ERROR [MindIE-SD/eplb] EPLB scheduler failed to bind address. issue=manager server startup failed, scheduler_addr={host}:{port}, actual_error={error}. possible_cause=the scheduler port is already in use or the configured address is unavailable. Troubleshooting: run ss -ltnp on the scheduler host to find the process occupying scheduler_addr; if actual_error is Address already in use, stop the occupying process or configure another --port; if the address is unavailable, verify --host is a local bindable address and restart the scheduler.",EPLB-FM003,端口监控可用；ERROR日志输出正常；scheduler启动到manager server绑定阶段,可定位,部分自动化
EPLB-FM003,,EPLB Worker连接Scheduler失败,AI软件,MINDIE,SD,task_manager,平台软件,worker配置的ip或port与scheduler监听地址不一致；网络命名空间、路由或防火墙导致worker到scheduler不可达；scheduler存在且端口监听但worker仍连接失败,worker线程无法获取instruction_queue和upload_queue；负载上报中断,worker侧ERROR日志包含rank、manager_addr和actual_error；actual_error可能为No route to host、Network is unreachable、Host is unreachable或timed out,单个rank或整个EPLB调度域,高,通信故障,初始化场景,是,中,日志记录；连接状态检测,manager.connect失败时记录ERROR并抛出原异常,调用方需统一worker与scheduler的ip和port,需人工介入,二级,是,将worker ip或port配置为错误值,1. grep EPLB worker failed to connect to scheduler 2. 对比日志manager_addr与scheduler启动参数--host/--port 3. scheduler侧ss -ltnp确认目标端口已监听 4. worker侧使用nc -vz或telnet验证manager_addr连通性；scheduler监听正常但地址配置或网络不可达时归因EPLB-FM003,"ERROR [MindIE-SD/eplb] EPLB worker failed to connect to scheduler. issue=scheduler connection unavailable, rank_in_group={rank_in_group}, manager_addr={ip}:{port}, actual_error={error}. possible_cause=the scheduler is not running, the configured address is incorrect, or the network path is unavailable. Troubleshooting: if actual_error is Connection refused, check whether the scheduler process is running and whether manager_addr is listening with ps and ss -ltnp; if the scheduler is listening, compare manager_addr with scheduler --host/--port and worker ip/port; if the address matches but connection still fails, run nc -vz or telnet from the worker environment to check routing, firewall, or container network namespace.",EPLB-FM001,ERROR日志输出正常；worker启动到连接阶段；scheduler进程和端口监听检查可用于排除EPLB-FM001,可定位,部分自动化
EPLB-FM004,,EPLB认证密钥不一致,AI软件,MINDIE,SD,task_manager,平台软件,scheduler和worker使用的EPLB_AUTH_KEY不一致,worker无法接入scheduler；EPLB动态布局不生效,worker侧ERROR日志明确显示认证失败及manager_addr,单个rank或整个EPLB调度域,高,配置故障,初始化场景,是,低,日志记录；连接状态检测,捕获AuthenticationError并记录认证失败ERROR日志,调用方需统一scheduler和worker的auth_key,需人工介入,二级,是,scheduler和worker设置不同EPLB_AUTH_KEY,1. grep EPLB worker authentication failed 2. 对比scheduler --auth_key、worker auth_key和两端EPLB_AUTH_KEY环境变量 3. 确认所有rank使用同一认证密钥 4. 修改后重启scheduler和worker,"ERROR [MindIE-SD/eplb] EPLB worker authentication failed. issue=scheduler rejected worker credentials, rank_in_group={rank_in_group}, manager_addr={ip}:{port}, actual_error={error}. possible_cause=the scheduler and worker use different EPLB authentication keys. Troubleshooting: compare scheduler --auth_key, worker auth_key, and EPLB_AUTH_KEY in both environments; use the same key on every rank, then restart scheduler and workers.",EPLB-FM003,异常捕获正常；ERROR日志输出正常；worker已连接到scheduler地址但认证被拒绝,可定位,部分自动化
EPLB-FM005,,EPLB Profile任务入队失败,AI软件,MINDIE,SD,task_transfer,平台软件,instruction_queue已满；scheduler或worker消费速度低于生产速度,专家负载采样任务丢失；布局更新延迟或不触发,队列堆积告警显示scheduler消费异常,单个MoE层或单个EPLB调度域,中,线程故障,推理场景,否,中,日志记录；队列状态检测,记录WARNING并跳过本次profile任务,系统继续推理但EPLB更新可能滞后,自动恢复或调整配置,三级,是,降低scheduler消费能力或将lb_interval配置过小,1. grep EPLB profile task enqueue failed 2. 根据日志moe_layer_idx和lb_interval定位具体MoE层 3. 检查scheduler进程和worker消费线程是否存活 4. 检查instruction_queue积压；若生产快于消费，增大lb_interval或队列容量,"WARNING [MindIE-SD/eplb] EPLB profile task enqueue failed. issue=instruction_queue is full, moe_layer_idx={moe_layer_idx}, lb_interval={lb_interval}, expected=queue has free slot. possible_cause=scheduler consumes profile tasks slower than workers produce them. Troubleshooting: check whether the scheduler process and worker consumer thread are alive; inspect instruction_queue backlog for this moe_layer_idx; increase lb_interval or queue capacity if tasks are produced faster than they are consumed.",EPLB-FM006,WARNING日志输出正常；队列put_nowait异常捕获正常；日志包含moe_layer_idx和lb_interval,可定位,部分自动化
EPLB-FM006,,EPLB Scheduler处理上报失败,AI软件,MINDIE,SD,eplb_scheduler,平台软件,rank上报字段缺失；moe_layer_idx越界；队列状态与world_size不匹配,scheduler退出或当前轮布局计算失败；动态专家布局停止更新,scheduler错误日志包含failed to process upload queue,单个EPLB调度域,高,逻辑故障,推理场景,是,中,日志记录；异常捕获,抛出ModelExecError并保留actual_error,调用方需修复worker上报字段和scheduler参数,需人工介入,二级,是,构造缺少load或local_expert_list字段的rank report,1. grep EPLB scheduler failed 2. 查看actual_error定位缺失字段或算法异常 3. 检查worker上报是否包含moe_layer_idx、load、local_expert_list 4. 检查moe_layer_idx是否小于block_num且rank数量匹配world_size 5. 字段正常时继续检查mode/redundant和scheduler traceback,"ERROR [MindIE-SD/utils] Model execution failed. issue=[MIE06E000005] Model exec err. [MindIE-SD/eplb] EPLB scheduler failed. issue=failed to process upload queue, rank={rank}, world_size={world_size}, mode={mode}, actual_error={error}. possible_cause=invalid load report, greedy algorithm failure, or queue state mismatch. Troubleshooting: inspect the worker report and confirm it contains moe_layer_idx, load, and local_expert_list; verify moe_layer_idx is within block_num and rank count matches world_size; if fields are valid, check mode/redundant settings and the chained scheduler traceback.. possible_cause=the model forward, scheduler, or custom operator path failed during execution. Troubleshooting: check the request parameters, tensor shape and dtype, scheduler state, and CANN operator error stack",EPLB-FM007,异常捕获正常；ERROR日志输出正常；日志包含rank、world_size、mode和actual_error,可定位,部分自动化
EPLB-FM007,,EPLB专家初始放置失败,AI软件,MINDIE,SD,greedy_algorithm,平台软件,没有设备满足单个专家的内存预算要求,布局计算失败；无法下发布局更新,错误日志显示专家无法找到初始放置位置,单个MoE层或EPLB调度域,高,资源故障,推理场景,是,中,日志记录；资源约束检查,记录ERROR并抛出MemoryError,调用方需调整world_size expert_num redundant或专家权重规模,需人工介入,二级,是,设置过小设备内存预算或过大专家规模,1. grep Expert initial placement failed 2. 根据expert_id定位无法放置的专家 3. 对比expected_free_memory、actual_device_memory和actual_used_memory 4. 调整world_size、expert_num、redundant、专家权重规模或设备内存预算,"ERROR [MindIE-SD/eplb] Expert initial placement failed. issue=no device has enough memory for expert, expert_id={expert_id}, expected_free_memory>={expert_mem}GB, actual_device_memory={device_mems}GB, actual_used_memory={used_mems}GB. possible_cause=EPLB memory configuration cannot fit every expert. Troubleshooting: increase expert_per_rank/redundant memory budget, reduce expert size, or check world_size and expert_num settings.",,异常捕获正常；ERROR日志输出正常；日志包含expert_id、期望空闲内存、设备总内存和已用内存,可定位,部分自动化
EPLB-FM008,,EPLB共享专家放置失败,AI软件,MINDIE,SD,greedy_algorithm,平台软件,共享专家内存需求超过至少一张设备预算,共享专家无法部署到所有设备；布局计算失败,错误日志显示shared expert内存不足,单个MoE层或EPLB调度域,高,资源故障,推理场景,是,低,日志记录；资源约束检查,记录ERROR并抛出MemoryError,调用方需降低共享专家大小或提高单卡专家预算,需人工介入,二级,是,配置shared_expert_id且设备预算小于共享专家大小,1. grep Shared expert placement failed 2. 根据shared_expert_id和device_id定位放置失败设备 3. 对比expected_device_memory和actual_device_memory 4. 降低共享专家大小、调整shared_expert_id或提高单卡专家预算,"ERROR [MindIE-SD/eplb] Shared expert placement failed. issue=device memory is insufficient for shared expert, device_id={device_id}, shared_expert_id={shared_expert_id}, expected_device_memory>={shared_mem}GB, actual_device_memory={device_mem}GB. possible_cause=shared expert memory requirement exceeds one or more device budgets. Troubleshooting: increase per-device expert memory budget, reduce shared expert size, or adjust EPLB deployment configuration.",,异常捕获正常；ERROR日志输出正常；日志包含device_id、shared_expert_id、期望设备内存和实际设备内存,可定位,部分自动化
EPLB-FM009,,EPLB专家交换状态不一致,AI软件,MINDIE,SD,greedy_algorithm,平台软件,device_to_expert缺少待交换设备；rank覆盖或布局状态构造异常,专家交换阶段失败；EX模式布局更新中断,错误日志显示device index missing from device_to_expert,单个MoE层或EPLB调度域,高,状态故障,推理场景,是,低,日志记录；状态检测,记录ERROR并抛出IndexError,调用方需检查rank覆盖和device_to_expert构造,需人工介入,二级,是,构造缺少某个device key的device_to_expert状态,1. grep Expert exchange failed 2. 对比expected_devices和actual_devices确认缺失设备索引 3. 检查device_to_expert构造来源和rank上报覆盖是否完整 4. 检查local_expert_list是否按world_size覆盖所有rank,"ERROR [MindIE-SD/eplb] Expert exchange failed. issue=device index is missing from device_to_expert, expected_devices=({max_device_index},{min_device_index}), actual_devices={device_to_expert_keys}. possible_cause=EPLB placement state is inconsistent before exchange. Troubleshooting: inspect device_to_expert construction and load report rank coverage.",,异常捕获正常；ERROR日志输出正常；日志包含expected_devices和actual_devices,可定位,部分自动化
EPLB-FM010,,EPLB布局长期未更新,AI软件,MINDIE,SD,eplb_scheduler,平台软件,未收齐world_size个rank的负载上报；block_num未覆盖目标MoE层；负载未触发update,动态负载均衡不生效；专家布局保持初始状态,ERROR日志显示greedy算法未产生布局更新及当前update_count,单个MoE层或EPLB调度域,中,状态故障,推理场景,否,中,日志记录；状态检测,未产生布局更新时记录ERROR并跳过任务下发,系统继续推理但无EPLB收益,自动恢复或人工调整,三级,是,构造完整rank上报并使greedy算法返回不更新,1. grep EPLB layout was not updated 2. 根据layer_idx确认目标MoE层 3. 检查该layer_idx是否收齐world_size个rank的load和local_expert_list 4. 检查block_num是否覆盖layer_idx 5. 检查负载变化和EPLB阈值是否足以触发布局更新；update_count持续不变时检查greedy输入,"ERROR [MindIE-SD/eplb] EPLB layout was not updated. issue=greedy algorithm produced no layout update, layer_idx={layer_idx}, update_count={update_count}. possible_cause=rank reports are incomplete, the target MoE layer is not covered, or the reported load does not trigger an update. Troubleshooting: verify all world_size ranks reported load and local_expert_list for this layer_idx; check block_num covers layer_idx; inspect whether load data changes enough to trigger EPLB thresholds; if reports are complete but update_count stays unchanged, review greedy algorithm input and thresholds.",EPLB-FM003,ERROR日志输出正常；scheduler处理到布局计算阶段；日志包含layer_idx和update_count,可定位,部分自动化
